Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
6.797,-0.01,-0.01,-0.024,-0.024,-0.02,-0.024,-0.024
6.816,-0.01,-0.02,-0.015,-0.024,-0.024,-0.015,-0.029
6.836,-0.01,-0.01,-0.015,-0.034,-0.029,-0.024,-0.02
6.855,-0.01,-0.015,-0.02,-0.02,-0.029,-0.024,-0.029
6.875,-0.015,-0.015,-0.02,-0.02,-0.024,-0.034,-0.015
6.895,-0.01,-0.015,-0.024,-0.02,-0.024,-0.015,-0.024
6.914,-0.015,-0.01,-0.015,-0.024,-0.015,-0.029,-0.02
6.934,-0.015,-0.02,-0.02,-0.02,-0.015,-0.015,-0.024
6.953,-0.01,-0.01,-0.02,-0.024,-0.024,-0.024,-0.024
6.973,-0.005,-0.015,-0.024,-0.015,-0.034,-0.02,-0.029
6.992,-0.01,-0.015,-0.02,-0.02,-0.02,-0.029,-0.02
7.012,-0.01,-0.015,-0.02,-0.02,-0.024,-0.02,-0.024
7.031,-0.02,-0.024,-0.01,-0.024,-0.015,-0.029,-0.024
7.051,-0.01,-0.015,-0.02,-0.02,-0.024,-0.02,-0.02
7.07,-0.01,-0.015,-0.02,-0.024,-0.02,-0.02,-0.029
7.09,0,-0.02,-0.029,-0.015,-0.029,-0.024,-0.024
7.109,-0.015,-0.02,-0.02,-0.024,-0.015,-0.024,-0.024
7.129,-0.005,-0.015,-0.02,-0.02,-0.02,-0.024,-0.02
7.148,-0.02,-0.015,-0.01,-0.029,-0.015,-0.024,-0.029
7.168,0,-0.01,-0.024,-0.01,-0.029,-0.024,-0.029
7.187,-0.015,-0.01,-0.015,-0.02,-0.024,-0.024,-0.029
7.207,-0.005,-0.015,-0.024,-0.015,-0.029,-0.029,-0.029
7.227,-0.015,-0.02,-0.01,-0.024,-0.015,-0.024,-0.029
7.246,-0.005,-0.02,-0.024,-0.02,-0.024,-0.024,-0.02
7.266,-0.02,-0.02,-0.01,-0.024,-0.02,-0.02,-0.024
7.285,-0.005,-0.01,-0.024,-0.01,-0.024,-0.024,-0.024
7.305,-0.015,-0.015,-0.02,-0.024,-0.024,-0.024,-0.034
7.324,-0.005,-0.01,-0.024,-0.02,-0.024,-0.029,-0.02
7.344,-0.01,-0.024,-0.01,-0.024,-0.02,-0.024,-0.029
7.363,-0.01,-0.01,-0.02,-0.024,-0.024,-0.029,-0.015
7.383,-0.015,-0.02,-0.015,-0.024,-0.02,-0.015,-0.024
7.402,-0.01,-0.005,-0.024,-0.02,-0.01,-0.024,-0.024
7.422,-0.01,-0.02,-0.015,-0.02,-0.029,-0.024,-0.034
7.441,-0.01,-0.015,-0.02,-0.024,-0.02,-0.029,-0.015
7.461,0,-0.02,-0.02,-0.015,-0.024,-0.015,-0.029
7.48,-0.015,-0.005,-0.02,-0.029,-0.02,-0.024,-0.02
7.5,-0.015,-0.02,-0.02,-0.02,-0.02,-0.02,-0.029
7.52,-0.01,-0.01,-0.005,-0.024,-0.024,-0.029,-0.02
7.539,-0.01,-0.02,-0.02,-0.015,-0.034,-0.02,-0.029
7.559,-0.015,-0.015,-0.02,-0.02,-0.024,-0.024,-0.02
7.578,-0.01,-0.015,-0.02,-0.02,-0.024,-0.015,-0.024
7.598,-0.015,-0.015,-0.015,-0.024,-0.02,-0.029,-0.02
7.617,-0.015,-0.02,-0.015,-0.02,-0.02,-0.02,-0.024
7.637,-0.015,-0.015,-0.02,-0.024,-0.02,-0.029,-0.024
7.656,-0.005,-0.005,-0.02,-0.01,-0.034,-0.024,-0.029
7.676,-0.01,-0.015,-0.02,-0.024,-0.02,-0.024,-0.029
7.695,-0.005,-0.015,-0.024,-0.024,-0.024,-0.02,-0.024
7.715,-0.015,-0.015,-0.01,-0.029,-0.015,-0.024,-0.024
7.734,-0.01,-0.015,-0.02,-0.015,-0.024,-0.02,-0.015
7.754,-0.02,-0.015,-0.02,-0.02,-0.02,-0.02,-0.029
7.773,-0.005,-0.015,-0.024,-0.01,-0.029,-0.024,-0.024
7.793,-0.01,-0.02,-0.02,-0.029,-0.015,-0.024,-0.024
7.812,-0.005,-0.015,-0.02,-0.024,-0.024,-0.024,-0.02
7.832,-0.02,-0.015,-0.01,-0.024,-0.02,-0.02,-0.024
7.852,-0.005,-0.01,-0.024,-0.01,-0.024,-0.024,-0.02
7.871,-0.015,-0.02,-0.02,-0.024,-0.015,-0.024,-0.034
7.891,-0.005,-0.015,-0.024,-0.015,-0.029,-0.029,-0.024
7.91,-0.015,-0.024,-0.01,-0.024,-0.02,-0.024,-0.024
7.93,-0.01,-0.01,-0.024,-0.024,-0.024,-0.024,-0.02
7.949,-0.015,-0.02,-0.01,-0.024,-0.02,-0.02,-0.024
7.969,0,-0.005,-0.015,-0.02,-0.02,-0.024,-0.02
7.988,-0.015,-0.02,-0.02,-0.024,-0.02,-0.024,-0.039
8.008,-0.01,-0.015,-0.02,-0.02,-0.024,-0.029,-0.024
8.027,-0.01,-0.02,-0.015,-0.015,-0.034,-0.02,-0.029
8.047,-0.01,-0.005,-0.024,-0.024,-0.02,-0.024,-0.02
8.066,-0.015,-0.02,-0.015,-0.024,-0.02,-0.01,-0.029
8.086,-0.005,-0.015,-0.015,-0.02,-0.024,-0.029,-0.02
8.105,-0.015,-0.02,-0.02,-0.02,-0.024,-0.024,-0.034
8.125,-0.01,-0.015,-0.02,-0.02,-0.024,-0.034,-0.015
8.145,0,-0.02,-0.02,-0.024,-0.024,-0.015,-0.029
8.164,-0.015,-0.015,-0.02,-0.024,-0.02,-0.024,-0.02
8.184,-0.01,-0.015,-0.015,-0.024,-0.02,-0.02,-0.024
8.203,-0.01,-0.015,-0.02,-0.02,-0.024,-0.029,-0.024
8.223,-0.01,-0.015,-0.024,-0.015,-0.029,-0.024,-0.024
8.242,-0.01,-0.015,-0.024,-0.02,-0.02,-0.029,-0.02
8.262,-0.015,-0.015,-0.02,-0.02,-0.029,-0.015,-0.029
8.281,-0.015,-0.034,-0.015,-0.029,-0.015,-0.024,-0.024
8.301,-0.015,-0.01,-0.015,-0.02,-0.024,-0.02,-0.02
8.32,-0.01,-0.015,-0.015,-0.024,-0.02,-0.024,-0.024
8.34,-0.005,-0.015,-0.029,-0.01,-0.029,-0.024,-0.024
8.359,-0.01,-0.02,-0.015,-0.024,-0.015,-0.024,-0.039
8.379,-0.005,-0.02,-0.02,-0.02,-0.024,-0.029,-0.024
8.398,-0.02,-0.015,-0.015,-0.024,-0.02,-0.02,-0.024
8.418,-0.01,-0.005,-0.02,-0.01,-0.029,-0.024,-0.024
8.437,-0.015,-0.015,-0.015,-0.02,-0.02,-0.02,-0.029
8.457,0,-0.02,-0.024,-0.015,-0.024,-0.029,-0.024
8.477,-0.015,-0.024,-0.01,-0.029,-0.015,-0.024,-0.024
8.496,-0.01,-0.015,-0.024,-0.02,-0.029,-0.024,-0.024
8.516,-0.02,-0.02,-0.015,-0.024,-0.02,-0.02,-0.02
8.535,-0.005,-0.01,-0.02,-0.015,-0.024,-0.02,-0.024
8.555,-0.02,-0.015,-0.015,-0.024,-0.024,-0.024,-0.034
8.574,-0.005,-0.015,-0.024,-0.015,-0.024,-0.034,-0.02
8.594,-0.01,-0.024,-0.015,-0.02,-0.02,-0.024,-0.029
8.613,-0.01,-0.005,-0.02,-0.024,-0.024,-0.024,-0.02
8.633,-0.02,-0.02,-0.015,-0.02,-0.02,-0.015,-0.024
8.652,-0.005,-0.005,-0.02,-0.029,-0.015,-0.024,-0.024
8.672,-0.01,-0.02,-0.02,-0.02,-0.024,-0.02,-0.034
8.691,-0.005,-0.015,-0.02,-0.02,-0.024,-0.034,-0.015
8.711,-0.01,-0.02,-0.024,-0.024,-0.024,-0.02,-0.029
8.73,-0.01,-0.005,-0.02,-0.024,-0.02,-0.024,-0.02
8.75,-0.015,-0.015,-0.015,-0.02,-0.02,-0.01,-0.029
8.77,-0.015,-0.01,-0.02,-0.02,-0.024,-0.024,-0.024
8.789,-0.01,-0.015,-0.02,-0.015,-0.024,-0.02,-0.029
8.809,-0.015,-0.015,-0.02,-0.02,-0.024,-0.029,-0.015
8.828,0,-0.02,-0.02,-0.024,-0.024,-0.015,-0.024
8.848,-0.015,-0.02,-0.015,-0.029,-0.015,-0.029,-0.02
8.867,-0.015,-0.015,-0.015,-0.02,-0.024,-0.02,-0.024
8.887,-0.01,-0.02,-0.02,-0.024,-0.024,-0.029,-0.02
8.906,-0.01,-0.015,-0.029,-0.01,-0.029,-0.02,-0.029
8.926,-0.005,-0.015,-0.015,-0.02,-0.015,-0.029,-0.02
8.945,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.024
8.965,-0.015,-0.015,-0.01,-0.029,-0.02,-0.029,-0.024
8.984,-0.015,-0.01,-0.024,-0.01,-0.029,-0.024,-0.015
9.004,-0.015,-0.015,-0.02,-0.024,-0.024,-0.015,-0.029
9.023,0,-0.01,-0.024,-0.015,-0.029,-0.024,-0.029
9.043,-0.01,-0.02,-0.01,-0.029,-0.015,-0.029,-0.024
9.062,-0.01,-0.015,-0.024,-0.02,-0.024,-0.029,-0.02
9.082,-0.015,-0.015,-0.01,-0.024,-0.02,-0.02,-0.024
9.102,-0.005,-0.01,-0.024,-0.015,-0.029,-0.02,-0.024
9.121,-0.015,-0.015,-0.02,-0.02,-0.02,-0.02,-0.029
9.141,0,-0.015,-0.02,-0.015,-0.029,-0.024,-0.029
9.16,-0.015,-0.024,-0.01,-0.024,-0.02,-0.024,-0.02
9.18,-0.005,-0.005,-0.02,-0.02,-0.024,-0.024,-0.02
9.199,-0.02,-0.02,-0.015,-0.024,-0.024,-0.02,-0.024
9.219,0,-0.01,-0.02,-0.02,-0.024,-0.024,-0.02
9.238,-0.015,-0.02,-0.02,-0.02,-0.02,-0.024,-0.029
9.258,-0.01,-0.01,-0.02,-0.02,-0.029,-0.034,-0.02
9.277,-0.015,-0.02,-0.015,-0.01,-0.039,-0.024,-0.024
9.297,-0.01,-0.005,-0.02,-0.024,-0.02,-0.029,-0.02
9.316,-0.015,-0.02,-0.02,-0.02,-0.024,-0.015,-0.024
9.336,-0.005,-0.01,-0.01,-0.02,-0.024,-0.024,-0.024
9.355,-0.015,-0.02,-0.02,-0.02,-0.029,-0.024,-0.034
9.375,-0.01,-0.02,-0.02,-0.02,-0.02,-0.029,-0.015
9.395,-0.015,-0.015,-0.02,-0.02,-0.024,-0.015,-0.029
9.414,-0.01,-0.015,-0.02,-0.029,-0.015,-0.024,-0.015
9.434,-0.015,-0.02,-0.02,-0.024,-0.02,-0.02,-0.029
9.453,-0.015,-0.01,-0.02,-0.024,-0.024,-0.029,-0.024
9.473,-0.01,-0.005,-0.02,-0.01,-0.029,-0.02,-0.029
9.492,-0.015,-0.02,-0.024,-0.02,-0.024,-0.029,-0.02
9.512,-0.015,-0.015,-0.02,-0.02,-0.024,-0.015,-0.024
9.531,-0.015,-0.015,-0.015,-0.034,-0.01,-0.024,-0.02
9.551,-0.01,-0.015,-0.02,-0.015,-0.024,-0.024,-0.024
9.57,-0.01,-0.015,-0.015,-0.024,-0.024,-0.024,-0.024
9.59,-0.005,-0.015,-0.029,-0.015,-0.029,-0.024,-0.024
9.609,-0.01,-0.024,-0.015,-0.024,-0.01,-0.024,-0.029
9.629,-0.015,-0.015,-0.02,-0.015,-0.024,-0.024,-0.024
9.648,-0.02,-0.015,-0.01,-0.024,-0.01,-0.024,-0.024
9.668,-0.01,-0.005,-0.02,-0.01,-0.029,-0.024,-0.024
9.687,-0.01,-0.02,-0.015,-0.024,-0.02,-0.015,-0.029
9.707,-0.005,-0.015,-0.024,-0.02,-0.029,-0.029,-0.024
9.727,-0.01,-0.024,-0.005,-0.02,-0.015,-0.024,-0.024
9.746,-0.01,-0.01,-0.024,-0.02,-0.024,-0.024,-0.02
9.766,-0.02,-0.015,-0.015,-0.02,-0.02,-0.02,-0.02
9.785,-0.005,-0.01,-0.024,-0.015,-0.024,-0.024,-0.024
9.805,-0.015,-0.02,-0.015,-0.024,-0.024,-0.024,-0.029
9.824,-0.005,-0.015,-0.024,-0.02,-0.029,-0.029,-0.024
9.844,-0.015,-0.02,-0.015,-0.015,-0.024,-0.024,-0.029
9.863,-0.01,-0.005,-0.024,-0.02,-0.02,-0.024,-0.02
9.883,-0.02,-0.015,-0.02,-0.02,-0.024,-0.015,-0.024
9.902,0,-0.01,-0.015,-0.024,-0.01,-0.024,-0.024
9.922,-0.015,-0.024,-0.015,-0.02,-0.029,-0.024,-0.029
9.941,-0.005,-0.015,-0.02,-0.02,-0.02,-0.034,-0.02
9.961,-0.015,-0.024,-0.034,-0.02,-0.024,-0.02,-0.029
9.98,-0.01,-0.01,-0.015,-0.024,-0.02,-0.029,-0.015
10,-0.015,-0.015,-0.02,-0.02,-0.02,-0.015,-0.029
10.02,0.176,0.166,0.161,0.151,0.146,0.151,0.151
10.039,0.132,0.132,0.122,0.132,0.122,0.117,0.112
10.059,0.132,0.122,0.117,0.117,0.112,0.107,0.122
10.078,0.122,0.117,0.117,0.112,0.107,0.122,0.103
10.098,0.117,0.103,0.117,0.098,0.117,0.098,0.107
10.117,0.112,0.112,0.107,0.112,0.103,0.107,0.098
10.137,0.103,0.112,0.103,0.098,0.103,0.103,0.103
10.156,0.112,0.107,0.098,0.107,0.093,0.098,0.098
10.176,0.107,0.103,0.103,0.098,0.103,0.098,0.098
10.195,0.107,0.098,0.103,0.103,0.098,0.103,0.093
10.215,0.103,0.103,0.107,0.093,0.103,0.093,0.093
10.234,0.107,0.107,0.098,0.107,0.093,0.098,0.098
10.254,0.098,0.103,0.098,0.093,0.098,0.098,0.098
10.273,0.107,0.098,0.093,0.098,0.088,0.093,0.093
10.293,0.103,0.088,0.107,0.093,0.103,0.093,0.078
10.312,0.098,0.093,0.088,0.093,0.088,0.083,0.098
10.332,0.093,0.093,0.103,0.093,0.098,0.098,0.093
10.352,0.103,0.103,0.088,0.098,0.088,0.093,0.093
10.371,0.098,0.093,0.098,0.093,0.098,0.093,0.093
10.391,0.103,0.098,0.088,0.098,0.088,0.088,0.093
10.41,0.093,0.088,0.098,0.098,0.098,0.088,0.088
10.43,0.098,0.098,0.088,0.093,0.088,0.093,0.098
10.449,0.088,0.088,0.098,0.093,0.088,0.103,0.093
10.469,0.103,0.098,0.093,0.083,0.093,0.093,0.093
10.488,0.093,0.088,0.088,0.093,0.093,0.093,0.088
10.508,0.098,0.093,0.088,0.093,0.088,0.088,0.093
10.527,0.088,0.083,0.088,0.088,0.073,0.093,0.088
10.547,0.093,0.098,0.088,0.088,0.093,0.093,0.103
10.566,0.083,0.083,0.093,0.088,0.093,0.098,0.093
10.586,0.098,0.093,0.093,0.093,0.088,0.088,0.093
10.605,0.093,0.088,0.083,0.098,0.088,0.093,0.088
10.625,0.093,0.088,0.083,0.093,0.093,0.083,0.103
10.645,0.083,0.083,0.083,0.083,0.088,0.098,0.093
10.664,0.093,0.078,0.093,0.078,0.098,0.088,0.098
10.684,0.083,0.088,0.088,0.088,0.088,0.098,0.093
10.703,0.093,0.083,0.088,0.083,0.093,0.088,0.098
10.723,0.083,0.088,0.078,0.093,0.083,0.093,0.088
10.742,0.088,0.083,0.088,0.088,0.093,0.088,0.098
10.762,0.093,0.083,0.083,0.088,0.088,0.098,0.088
10.781,0.083,0.083,0.098,0.083,0.098,0.088,0.093
10.801,0.088,0.088,0.083,0.093,0.088,0.098,0.088
10.82,0.073,0.088,0.083,0.083,0.093,0.093,0.098
10.84,0.093,0.083,0.073,0.098,0.083,0.093,0.093
10.859,0.088,0.078,0.093,0.078,0.098,0.093,0.093
10.879,0.083,0.088,0.083,0.093,0.088,0.093,0.093
10.898,0.083,0.078,0.093,0.083,0.093,0.088,0.093
10.918,0.083,0.093,0.078,0.093,0.083,0.093,0.103
10.937,0.078,0.083,0.088,0.083,0.088,0.107,0.088
10.957,0.093,0.083,0.078,0.088,0.083,0.088,0.093
10.977,0.088,0.073,0.093,0.088,0.098,0.093,0.093
10.996,0.083,0.093,0.083,0.088,0.088,0.093,0.093
11.016,0.078,0.083,0.088,0.083,0.093,0.093,0.088
11.035,0.083,0.088,0.083,0.083,0.093,0.093,0.093
11.055,0.073,0.078,0.088,0.088,0.093,0.093,0.083
11.074,0.093,0.083,0.083,0.088,0.088,0.083,0.088
11.094,0.088,0.078,0.088,0.107,0.093,0.098,0.093
11.113,0.088,0.088,0.083,0.088,0.088,0.088,0.103
11.133,0.073,0.078,0.088,0.088,0.088,0.098,0.088
11.152,0.088,0.088,0.093,0.088,0.103,0.088,0.093
11.172,0.078,0.083,0.083,0.093,0.088,0.093,0.083
11.191,0.088,0.083,0.083,0.088,0.088,0.083,0.098
11.211,0.073,0.078,0.083,0.093,0.093,0.098,0.093
11.23,0.083,0.088,0.088,0.088,0.093,0.088,0.103
11.25,0.073,0.083,0.083,0.088,0.093,0.098,0.088
11.27,0.088,0.083,0.083,0.083,0.088,0.083,0.093
11.289,0.078,0.093,0.078,0.098,0.083,0.093,0.083
11.309,0.083,0.078,0.078,0.088,0.083,0.083,0.103
11.328,0.078,0.078,0.083,0.088,0.088,0.103,0.088
11.348,0.083,0.078,0.093,0.078,0.098,0.088,0.098
11.367,0.073,0.088,0.083,0.093,0.093,0.098,0.088
11.387,0.083,0.083,0.088,0.083,0.093,0.088,0.093
11.406,0.078,0.078,0.078,0.098,0.078,0.088,0.088
11.426,0.083,0.073,0.083,0.083,0.098,0.088,0.098
11.445,0.093,0.083,0.083,0.088,0.093,0.093,0.088
11.465,0.078,0.078,0.093,0.083,0.098,0.088,0.093
11.484,0.078,0.093,0.078,0.098,0.083,0.093,0.093
11.504,0.073,0.083,0.083,0.083,0.093,0.093,0.093
11.523,0.083,0.083,0.078,0.088,0.083,0.093,0.088
11.543,0.078,0.068,0.093,0.083,0.098,0.088,0.088
11.562,0.073,0.088,0.083,0.088,0.088,0.078,0.093
11.582,0.073,0.078,0.088,0.083,0.093,0.093,0.093
11.602,0.078,0.093,0.078,0.093,0.088,0.093,0.098
11.621,0.078,0.078,0.088,0.083,0.093,0.088,0.088
11.641,0.083,0.083,0.083,0.088,0.088,0.088,0.088
11.66,0.073,0.073,0.088,0.093,0.093,0.088,0.093
11.68,0.078,0.093,0.083,0.088,0.088,0.093,0.093
11.699,0.068,0.078,0.088,0.088,0.093,0.093,0.093
11.719,0.078,0.083,0.088,0.088,0.093,0.093,0.093
11.738,0.078,0.078,0.083,0.083,0.088,0.093,0.083
11.758,0.083,0.078,0.083,0.088,0.088,0.083,0.093
11.777,0.078,0.073,0.078,0.088,0.073,0.088,0.093
11.797,0.078,0.083,0.083,0.083,0.093,0.088,0.098
11.816,0.068,0.078,0.088,0.083,0.093,0.098,0.088
11.836,0.083,0.078,0.083,0.083,0.088,0.088,0.098
11.855,0.078,0.093,0.083,0.088,0.083,0.093,0.083
11.875,0.078,0.078,0.088,0.088,0.088,0.078,0.098
11.895,0.068,0.078,0.083,0.088,0.088,0.098,0.088
11.914,0.078,0.078,0.083,0.078,0.098,0.088,0.098
11.934,0.068,0.078,0.088,0.088,0.093,0.103,0.088
11.953,0.083,0.083,0.083,0.088,0.088,0.088,0.098
11.973,0.073,0.083,0.078,0.093,0.078,0.093,0.088
11.992,0.083,0.078,0.083,0.083,0.088,0.083,0.103
12.012,0.073,0.073,0.078,0.088,0.093,0.098,0.093
12.031,0.073,0.078,0.093,0.078,0.098,0.088,0.098
12.051,0.073,0.088,0.083,0.093,0.088,0.098,0.088
12.07,0.073,0.083,0.083,0.083,0.093,0.088,0.093
12.09,0.078,0.078,0.073,0.093,0.073,0.093,0.088
12.109,0.078,0.073,0.098,0.078,0.098,0.083,0.098
12.129,0.083,0.078,0.083,0.088,0.088,0.088,0.088
12.148,0.068,0.073,0.093,0.078,0.093,0.088,0.093
12.168,0.073,0.088,0.083,0.093,0.088,0.093,0.093
12.187,0.073,0.078,0.088,0.083,0.093,0.103,0.098
12.207,0.078,0.078,0.078,0.088,0.083,0.088,0.093
12.227,0.073,0.073,0.093,0.088,0.098,0.093,0.078
12.246,0.073,0.088,0.083,0.088,0.088,0.088,0.093
12.266,0.068,0.073,0.088,0.083,0.093,0.093,0.088
12.285,0.073,0.083,0.088,0.078,0.093,0.093,0.093
12.305,0.073,0.078,0.083,0.093,0.088,0.093,0.093
12.324,0.083,0.083,0.078,0.093,0.083,0.083,0.093
12.344,0.073,0.078,0.088,0.088,0.088,0.088,0.088
12.363,0.078,0.083,0.083,0.083,0.093,0.088,0.098
12.383,0.068,0.078,0.083,0.088,0.093,0.098,0.088
12.402,0.078,0.083,0.093,0.088,0.107,0.093,0.093
12.422,0.073,0.078,0.078,0.093,0.088,0.093,0.083
12.441,0.083,0.078,0.083,0.093,0.083,0.083,0.093
12.461,0.073,0.078,0.083,0.088,0.083,0.093,0.093
12.48,0.078,0.068,0.093,0.083,0.093,0.083,0.098
12.5,0.068,0.078,0.083,0.088,0.093,0.098,0.088
12.52,0.083,0.078,0.088,0.083,0.088,0.088,0.093
12.539,0.073,0.078,0.078,0.093,0.083,0.088,0.088
12.559,0.083,0.078,0.083,0.088,0.083,0.083,0.103
12.578,0.068,0.078,0.088,0.093,0.088,0.103,0.088
12.598,0.078,0.083,0.093,0.078,0.098,0.083,0.098
12.617,0.073,0.083,0.083,0.093,0.088,0.093,0.083
12.637,0.083,0.078,0.083,0.083,0.088,0.088,0.093
12.656,0.068,0.083,0.073,0.098,0.083,0.093,0.088
12.676,0.073,0.073,0.088,0.088,0.093,0.088,0.103
12.695,0.073,0.078,0.083,0.088,0.083,0.098,0.088
12.715,0.073,0.078,0.093,0.078,0.098,0.088,0.093
12.734,0.073,0.088,0.078,0.093,0.083,0.093,0.088
12.754,0.068,0.078,0.083,0.083,0.093,0.088,0.093
12.773,0.068,0.083,0.078,0.093,0.083,0.093,0.088
12.793,0.073,0.073,0.088,0.088,0.098,0.088,0.098
12.812,0.093,0.088,0.083,0.088,0.083,0.083,0.093
12.832,0.068,0.078,0.093,0.083,0.093,0.093,0.088
12.852,0.068,0.088,0.078,0.088,0.083,0.093,0.098
12.871,0.068,0.078,0.083,0.088,0.093,0.088,0.093
12.891,0.078,0.078,0.078,0.088,0.088,0.088,0.088
12.91,0.078,0.073,0.088,0.103,0.093,0.093,0.093
12.93,0.073,0.083,0.083,0.088,0.088,0.088,0.093
12.949,0.068,0.078,0.088,0.083,0.093,0.098,0.093
12.969,0.073,0.083,0.083,0.083,0.093,0.093,0.093
12.988,0.068,0.078,0.083,0.093,0.088,0.093,0.088
13.008,0.078,0.078,0.083,0.088,0.093,0.083,0.093
13.027,0.073,0.078,0.068,0.088,0.078,0.093,0.093
13.047,0.078,0.078,0.083,0.083,0.088,0.088,0.093
13.066,0.068,0.078,0.088,0.083,0.088,0.103,0.088
13.086,0.078,0.083,0.083,0.083,0.088,0.093,0.093
13.105,0.068,0.078,0.078,0.093,0.083,0.088,0.083
13.125,0.083,0.078,0.083,0.088,0.088,0.083,0.098
13.145,0.068,0.083,0.083,0.088,0.088,0.098,0.093
13.164,0.073,0.073,0.088,0.078,0.093,0.088,0.103
13.184,0.068,0.083,0.083,0.093,0.093,0.098,0.093
13.203,0.083,0.083,0.088,0.083,0.088,0.088,0.093
13.223,0.073,0.083,0.073,0.093,0.083,0.093,0.083
13.242,0.078,0.073,0.083,0.083,0.088,0.088,0.103
13.262,0.068,0.078,0.078,0.088,0.088,0.098,0.088
13.281,0.078,0.078,0.093,0.083,0.093,0.088,0.098
13.301,0.063,0.088,0.083,0.098,0.088,0.093,0.088
13.32,0.078,0.083,0.088,0.078,0.093,0.088,0.093
13.34,0.068,0.083,0.073,0.093,0.078,0.093,0.088
13.359,0.078,0.068,0.093,0.083,0.098,0.093,0.103
13.379,0.068,0.088,0.083,0.088,0.088,0.093,0.088
13.398,0.073,0.078,0.088,0.083,0.098,0.088,0.098
13.418,0.068,0.083,0.083,0.093,0.083,0.093,0.088
13.437,0.068,0.073,0.088,0.088,0.088,0.103,0.093
13.457,0.073,0.083,0.078,0.093,0.083,0.088,0.088
13.477,0.073,0.073,0.088,0.088,0.093,0.093,0.093
13.496,0.068,0.088,0.083,0.088,0.088,0.088,0.088
13.516,0.068,0.073,0.088,0.088,0.093,0.093,0.093
13.535,0.073,0.088,0.083,0.073,0.088,0.088,0.103
13.555,0.073,0.078,0.088,0.088,0.093,0.088,0.088
13.574,0.073,0.078,0.078,0.088,0.088,0.083,0.093
13.594,0.073,0.073,0.083,0.088,0.093,0.093,0.088
13.613,0.073,0.078,0.083,0.083,0.093,0.093,0.098
13.633,0.063,0.078,0.083,0.088,0.088,0.098,0.093
13.652,0.073,0.078,0.103,0.083,0.103,0.088,0.093
13.672,0.068,0.093,0.083,0.093,0.083,0.093,0.083
13.691,0.078,0.078,0.083,0.088,0.093,0.088,0.093
13.711,0.073,0.083,0.083,0.088,0.088,0.093,0.088
13.73,0.078,0.078,0.088,0.078,0.093,0.088,0.098
13.75,0.063,0.083,0.088,0.088,0.093,0.098,0.093
13.77,0.078,0.083,0.088,0.088,0.088,0.088,0.093
13.789,0.068,0.078,0.078,0.098,0.083,0.093,0.083
13.809,0.078,0.073,0.083,0.083,0.088,0.083,0.093
13.828,0.073,0.078,0.083,0.088,0.093,0.103,0.088
13.848,0.073,0.078,0.093,0.078,0.098,0.088,0.098
13.867,0.068,0.088,0.083,0.098,0.088,0.093,0.088
13.887,0.083,0.078,0.083,0.083,0.093,0.088,0.093
13.906,0.068,0.073,0.078,0.098,0.078,0.098,0.088
13.926,0.078,0.073,0.088,0.083,0.093,0.088,0.103
13.945,0.068,0.088,0.083,0.088,0.088,0.098,0.088
13.965,0.078,0.073,0.088,0.083,0.098,0.088,0.093
13.984,0.068,0.088,0.078,0.093,0.088,0.093,0.088
14.004,0.078,0.073,0.083,0.088,0.093,0.093,0.093
14.023,0.068,0.083,0.078,0.093,0.078,0.093,0.088
14.043,0.073,0.073,0.093,0.088,0.103,0.088,0.093
14.062,0.073,0.093,0.083,0.088,0.088,0.083,0.093
14.082,0.068,0.078,0.088,0.083,0.093,0.093,0.093
14.102,0.073,0.083,0.083,0.083,0.088,0.093,0.088
14.121,0.059,0.073,0.083,0.083,0.093,0.088,0.093
14.141,0.073,0.083,0.083,0.093,0.083,0.088,0.093
14.16,0.073,0.073,0.088,0.088,0.093,0.093,0.083
14.18,0.073,0.083,0.083,0.083,0.088,0.088,0.093
14.199,0.073,0.078,0.083,0.088,0.093,0.093,0.093
14.219,0.073,0.078,0.088,0.083,0.093,0.093,0.093
14.238,0.068,0.088,0.083,0.093,0.093,0.088,0.088
14.258,0.078,0.078,0.083,0.088,0.088,0.083,0.093
14.277,0.073,0.078,0.083,0.088,0.073,0.093,0.088
14.297,0.073,0.078,0.088,0.078,0.093,0.093,0.098
14.316,0.068,0.083,0.078,0.088,0.088,0.103,0.098
14.336,0.073,0.078,0.083,0.083,0.088,0.088,0.093
14.355,0.068,0.078,0.078,0.093,0.083,0.093,0.093
14.375,0.078,0.073,0.083,0.083,0.083,0.078,0.088
14.395,0.068,0.078,0.083,0.093,0.088,0.103,0.088
14.414,0.073,0.073,0.093,0.078,0.093,0.088,0.098
14.434,0.063,0.083,0.083,0.098,0.093,0.098,0.093
14.453,0.083,0.083,0.083,0.083,0.088,0.088,0.088
14.473,0.068,0.078,0.073,0.093,0.083,0.093,0.083
14.492,0.078,0.073,0.093,0.083,0.088,0.083,0.093
14.512,0.068,0.083,0.088,0.093,0.083,0.103,0.088
14.531,0.073,0.073,0.093,0.078,0.098,0.093,0.098
14.551,0.063,0.093,0.083,0.093,0.088,0.093,0.088
14.57,0.083,0.073,0.083,0.088,0.093,0.088,0.093
14.59,0.073,0.083,0.078,0.093,0.083,0.093,0.083
