Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
1.602,-0.015,-0.015,-0.02,-0.01,-0.029,-0.02,-0.024
1.621,-0.01,-0.015,-0.02,-0.024,-0.02,-0.024,-0.034
1.641,-0.01,-0.02,-0.029,-0.01,-0.029,-0.034,-0.024
1.66,-0.01,-0.024,-0.02,-0.024,-0.015,-0.024,-0.024
1.68,-0.015,-0.01,-0.02,-0.02,-0.024,-0.024,-0.015
1.699,-0.015,-0.015,-0.01,-0.024,-0.02,-0.015,-0.029
1.719,-0.01,-0.01,-0.024,-0.005,-0.024,-0.024,-0.024
1.738,0,-0.02,-0.02,-0.024,-0.024,-0.02,-0.029
1.758,-0.005,-0.02,-0.024,-0.015,-0.024,-0.034,-0.015
1.777,-0.01,-0.02,-0.01,-0.024,-0.02,-0.015,-0.029
1.797,-0.015,-0.005,-0.024,-0.015,-0.024,-0.029,-0.02
1.816,-0.01,-0.02,-0.015,-0.02,-0.02,-0.015,-0.029
1.836,-0.015,-0.01,-0.029,-0.015,-0.005,-0.029,-0.024
1.855,-0.005,-0.02,-0.015,-0.024,-0.029,-0.024,-0.029
1.875,-0.015,-0.015,-0.024,-0.02,-0.02,-0.029,-0.015
1.895,-0.01,-0.024,-0.01,-0.01,-0.02,-0.015,-0.02
1.914,-0.02,-0.005,-0.02,-0.024,-0.02,-0.029,-0.024
1.934,0,-0.015,-0.015,-0.02,-0.02,-0.02,-0.029
1.953,-0.01,-0.01,-0.02,-0.02,-0.024,-0.029,-0.024
1.973,0,-0.02,-0.02,-0.02,-0.029,-0.02,-0.024
1.992,-0.015,-0.02,-0.015,-0.02,-0.024,-0.029,-0.024
2.012,-0.01,-0.015,-0.024,-0.02,-0.024,-0.024,-0.024
2.031,-0.015,-0.01,-0.015,-0.029,-0.01,-0.024,-0.024
2.051,0,-0.015,-0.015,-0.024,-0.024,-0.024,-0.02
2.07,-0.01,-0.015,-0.024,-0.02,-0.02,-0.015,-0.029
2.09,-0.01,-0.005,-0.024,-0.015,-0.029,-0.024,-0.024
2.109,-0.01,-0.02,-0.015,-0.02,-0.02,-0.024,-0.024
2.129,-0.005,-0.02,-0.02,-0.02,-0.024,-0.024,-0.02
2.148,-0.015,-0.015,-0.015,-0.029,-0.015,-0.02,-0.029
2.168,-0.015,-0.01,-0.015,-0.015,-0.024,-0.024,-0.024
2.187,-0.01,-0.015,-0.02,-0.024,-0.02,-0.024,-0.034
2.207,-0.01,-0.015,-0.024,-0.01,-0.034,-0.029,-0.029
2.227,-0.01,-0.024,-0.02,-0.029,-0.015,-0.029,-0.024
2.246,-0.01,-0.02,-0.02,-0.02,-0.024,-0.024,-0.02
2.266,-0.015,-0.02,-0.01,-0.029,-0.02,-0.02,-0.024
2.285,-0.015,-0.005,-0.02,-0.01,-0.029,-0.024,-0.024
2.305,-0.005,-0.015,-0.02,-0.024,-0.015,-0.024,-0.029
2.324,-0.005,-0.015,-0.029,-0.015,-0.029,-0.029,-0.02
2.344,-0.01,-0.024,-0.01,-0.02,-0.02,-0.024,-0.024
2.363,-0.02,-0.01,-0.02,-0.02,-0.024,-0.029,-0.015
2.383,-0.01,-0.02,-0.01,-0.024,-0.024,-0.015,-0.024
2.402,-0.01,-0.005,-0.02,-0.015,-0.02,-0.024,-0.024
2.422,0,-0.02,-0.02,-0.024,-0.024,-0.024,-0.029
2.441,-0.01,-0.015,-0.024,-0.02,-0.024,-0.029,-0.015
2.461,-0.01,-0.02,-0.01,-0.02,-0.034,-0.015,-0.029
2.48,-0.015,-0.005,-0.02,-0.02,-0.02,-0.024,-0.02
2.5,-0.005,-0.02,-0.015,-0.024,-0.02,-0.02,-0.024
2.52,-0.015,-0.01,-0.02,-0.034,-0.024,-0.029,-0.024
2.539,-0.005,-0.02,-0.02,-0.02,-0.024,-0.024,-0.029
2.559,-0.015,-0.015,-0.02,-0.02,-0.024,-0.024,-0.015
2.578,-0.01,-0.02,-0.015,-0.02,-0.029,-0.015,-0.024
2.598,-0.015,-0.01,-0.02,-0.029,-0.02,-0.024,-0.02
2.617,0,-0.02,-0.02,-0.024,-0.02,-0.02,-0.024
2.637,-0.015,-0.01,-0.01,-0.024,-0.024,-0.024,-0.029
2.656,-0.005,-0.015,-0.02,-0.015,-0.029,-0.024,-0.029
2.676,-0.015,-0.02,-0.02,-0.02,-0.02,-0.029,-0.034
2.695,-0.01,-0.02,-0.02,-0.02,-0.029,-0.029,-0.024
2.715,-0.01,-0.024,-0.015,-0.029,-0.015,-0.024,-0.024
2.734,-0.005,-0.015,-0.02,-0.015,-0.024,-0.02,-0.024
2.754,-0.01,-0.015,-0.02,-0.024,-0.02,-0.02,-0.029
2.773,-0.005,-0.015,-0.029,-0.015,-0.029,-0.029,-0.024
2.793,-0.01,-0.024,-0.02,-0.024,-0.015,-0.024,-0.024
2.812,-0.015,-0.02,-0.02,-0.02,-0.024,-0.024,-0.02
2.832,-0.01,-0.015,-0.015,-0.029,-0.015,-0.02,-0.02
2.852,-0.02,-0.01,-0.02,-0.015,-0.029,-0.02,-0.024
2.871,-0.005,-0.015,-0.015,-0.024,-0.024,-0.024,-0.034
2.891,-0.01,-0.015,-0.029,-0.015,-0.029,-0.029,-0.024
2.91,-0.01,-0.024,-0.02,-0.024,-0.015,-0.024,-0.029
2.93,-0.015,-0.02,-0.024,-0.015,-0.024,-0.024,-0.015
2.949,-0.01,-0.015,-0.01,-0.024,-0.02,-0.015,-0.024
2.969,-0.01,-0.01,-0.024,-0.015,-0.024,-0.024,-0.02
2.988,-0.005,-0.015,-0.015,-0.029,-0.024,-0.024,-0.034
